STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SN02,SN02_ATTRIBUTES,SN03,SN03_ATTRIBUTES,SN12,SN12_ATTRIBUTES,SN52,SN52_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,SX02,SX02_ATTRIBUTES,SX03,SX03_ATTRIBUTES,SX12,SX12_ATTRIBUTES,SX52,SX52_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,WT05,WT05_ATTRIBUTES
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/15/2008,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/16/2008,,,,,,,0.02,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/17/2008,,,,,,,0.18,",,N",,,,,,,,,1,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/18/2008,,,,,,,0.01,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/19/2008,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/20/2008,,,,,,,0.64,",,N",,,,,,,,,5.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/21/2008,,,,,,,0.2,",,N",,,,,,,,,3,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/22/2008,,,,,,,0.02,",,N",,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/23/2008,,,,,,,0.01,",,N",,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/24/2008,,,,,,,0,"T,,N",,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/28/2008,4,",,N",,,0.28,",,N",,,,,,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/29/2008,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/30/2008,,,,,,,0,"T,,N",,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/31/2008,,,,,,,0.1,",,N",,,,,,,,,1.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,
